titulo,genero,likes
The Mafia Nanny,Romance,14.2M
FOG LAND,Action,"503,308"
On the Way to Meet Mom,Fantasy,1.5M
Duo Leveling,Action,"21,541"
My S-Class Hunters,Action,6.7M
The Academy's Genius Swordsman,Fantasy,3.6M
Beware of Love,Romance,"119,258"
unOrdinary,Superhero,70.2M
Dungeon Crawler Carl,Fantasy,"507,050"
Seabird and the Wolf,Fantasy,1M
Nevermore,Supernatural,8.9M
From Old Country Bumpkin to Master Swordsman,Graphic Novel,"622,848"
Jas and Art,Romance,"308,913"
Artifact-Devouring Player,Action,"379,469"
Hand Jumper,Thriller,6.2M
Childhood Friend Complex,Romance,3.6M
The Ember Knight,Fantasy,4.4M
City of Blank,Sci-fi,8.4M
The S-Class Hunter’s Peaceful Life with Monsters,Heartwarming,"288,061"
Maybe Meant to Be,Romance,14.8M
The Witch and The Bull,Fantasy,8.6M
Night Shift in Another World,Fantasy,"105,640"
Enrolling in the Transcendent Academy,Fantasy,3.3M
It’ll Be Okay,Slice of life,"191,503"
Soul Sealer's School Life,Romance,"146,381"
Observing My Mom’s Friend’s Son,Romance,"78,395"
Born to be the Grand Duchess,Romance,"577,576"
The Scandal Maker Has Returned,Romance,"82,563"
A Spell for a Smith,Fantasy,3.4M
To Get Her,Romance,"107,460"
