titulo,genero,likes
City of Blank,Sci-fi,8199999.999999999
Osora,Fantasy,6100000.0
Murim RPG Simulation,Action,3000000.0
I Abdicate My Title of Empress,Fantasy,3000000.0
Life of a Quack Healer,Fantasy,2600000.0
Designated Bully,Action,2500000.0
The Apothecary Prince,Fantasy,2100000.0
Klimt's Kisses,Romance,1600000.0
HAZESHIFT,Sci-fi,1000000.0
On the Way to Meet Mom,Fantasy,830846.0
Letters on the Wall,Romance,777977.0
"Myst, Might, Mayhem",Historical,663384.0
Hiding a Warehouse in the Apocalypse,Action,636619.0
Change Your Story,Comedy,533926.0
Chronicles of a Doomed Prodigy,Action,475314.0
Funtime Phobia,Romance,446222.0
Murder Girlband,Drama,366048.0
Containment Zone Management,Sci-fi,278626.0
The Patron of Villains,Fantasy,247777.0
Blood System,Action,236984.0
"Noble in Name, Vulgar at Heart",Romance,213080.0
Dirty Deeds,Romance,207137.0
The Ghost Duchess,Romance,167127.0
Four Options,Romance,133485.0
Shifting Tails,Romance,115254.0
FOG LAND,Action,108593.0
Undercover at Chaebol High,Thriller,77224.0
"Necromancer, the Ultimate Scourge!",Action,45947.0
The Divine Ring Descends: The Strongest Otherworld,Action,35154.0
The Glutton: Devourer of Kings,Action,9351.0
